Supervisor_District,ZIP_Code
8,94102
6,94102
3,94102
5,94102
8,94103
9,94103
10,94103
6,94103
3,94103
5,94103
6,94104
3,94104
6,94105
3,94105
10,94107
6,94107
6,94108
3,94108
2,94109
6,94109
3,94109
5,94109
8,94110
11,94110
9,94110
10,94110
6,94111
3,94111
7,94112
8,94112
11,94112
9,94112
10,94112
7,94114
8,94114
5,94114
2,94115
1,94115
5,94115
7,94116
4,94116
1,94117
7,94117
8,94117
5,94117
2,94118
1,94118
5,94118
2,94121
1,94121
1,94122
7,94122
5,94122
4,94122
2,94123
9,94124
10,94124
7,94127
8,94127
11,94127
2,94129
6,94130
7,94131
8,94131
5,94131
7,94132
11,94132
4,94132
2,94133
3,94133
11,94134
9,94134
10,94134
10,94158
6,94158
